"Month_Day","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","Mean","Median","Maximum","Minimum"
"04-18",38.9889999999994,49.7002300000022,70.93542,31.6210000000089,45.1750499999955,34.0769999999955,40.2170000000067,63.8559999999992,54.6460000000006,44.8219999999999,35.734800000001,46.3430454545463,44.8219999999999,70.93542,31.6210000000089
"04-19",45.7429999999989,43.8672299999955,67.3557999999978,30.7,39.4433599999978,41.1380000000045,34.9979999999933,58.9440000000008,39.2960000000006,45.436,46.7867999999993,44.8825627272717,43.8672299999955,67.3557999999978,30.7
"04-20",42.0589999999994,42.9984200000045,68.0373400000033,32.5419999999955,49.4423500000022,41.445,32.8490000000022,59.865,51.5760000000006,55.874,47.0938000000004,47.616537272728,47.0938000000004,68.0373400000033,32.5419999999955
"04-21",36.84,48.5059999999955,82.1654799999978,34.0769999999955,50.7532400000022,44.515,31.0069999999955,47.8919999999997,53.1110000000006,48.506,40.4011999999995,47.0703563636351,47.8919999999997,82.1654799999978,31.0069999999955
"04-22",38.9583000000022,42.82957,84.59692,35.6120000000067,50.7747299999955,42.3659999999978,40.5240000000022,45.4360000000006,36.84,45.436,44.0852000000018,46.1326109090915,42.82957,84.59692,35.6120000000067
"04-23",31.9279999999989,45.1320700000022,79.7555300000022,34.3840000000022,50.1392400000045,57.8203800000067,42.3659999999978,47.8919999999997,42.98,50.655,43.0413999999985,47.8266927272739,45.1320700000022,79.7555300000022,31.9279999999989
"04-24",32.235,52.92987,93.9542799999978,29.7789999999911,41.9669,48.5796799999955,45.4360000000089,67.8469999999997,47.2779999999989,59.865,48.1069000000002,51.6343299999993,48.1069000000002,93.9542799999978,29.7789999999911
"04-25",35.6120000000011,44.62245,83.20621,33.1560000000089,53.49782,51.9812400000022,42.98,54.3389999999994,40.2170000000011,63.549,51.9136999999996,50.461310909092,51.9136999999996,83.20621,33.1560000000089
"04-26",34.1107699999983,42.5624799999978,82.35582,35.305,54.9407199999955,55.4749000000022,37.4539999999911,42.0590000000008,45.7429999999989,57.716,51.7602000000018,49.0438081818169,45.7429999999989,82.35582,34.1107699999983
"04-27",32.8489999999994,43.1273600000011,63.9481,36.84,64.0401999999978,38.9122499999955,40.2170000000067,42.0589999999994,52.4970000000011,66.27823,57.1940999999975,48.9056581818181,43.1273600000011,66.27823,32.8489999999994
"04-28",37.1470000000011,55.1863199999989,65.0041800000034,41.1379999999933,43.03526,34.5098700000045,35.305,44.515,58.9439999999966,62.47757,60.0799000000019,48.8492818181818,44.515,65.0041800000034,34.5098700000045
"04-29",33.1560000000006,60.3684800000045,75.90882,39.6030000000045,50.6304400000089,53.0188999999933,36.84,44.515,60.1720000000011,52.76409,58.2685999999987,51.3859390909101,52.76409,75.90882,33.1560000000006
"04-30",35.6365599999983,51.9382599999978,93.1837099999955,42.6729999999933,60.3899699999978,61.29255,37.1469999999955,43.9010000000006,62.3210000000033,44.27861,70.8249000000019,54.871505454544,51.9382599999978,93.1837099999955,35.6365599999983
"05-01",35.3357,49.9335500000011,87.5871000000045,37.4540000000022,62.1859200000022,41.1441399999978,33.77,40.8309999999992,69.075,40.2906800000001,67.2944000000002,51.3546809090916,41.1441399999978,87.5871000000045,33.77
"05-02",44.2080000000017,58.1949199999989,93.8928799999989,34.6909999999978,62.77229,43.1058700000067,42.0590000000022,46.9710000000006,42.6729999999989,53.52545,67.4785999999987,53.5974554545458,46.9710000000006,93.8928799999989,34.6909999999978
"05-03",37.7610000000006,66.2628799999989,98.4733199999966,30.3930000000045,88.4282799999911,58.7905,39.91,49.12,40.5239999999966,53.8447299999999,56.5186999999995,56.3660372727262,53.8447299999999,98.4733199999966,30.3930000000045
"05-04",43.3483999999983,65.2221500000011,91.3662700000022,33.1559999999978,84.2346600000089,55.0481699999933,42.6730000000045,49.12,58.9440000000022,61.6548100000002,65.2375,59.0913600000008,58.9440000000022,91.3662700000022,33.1559999999978
"05-05",48.8130000000017,73.6400900000022,107.499120000002,38.375,84.4127199999933,43.92863,43.5939999999911,54.9530000000003,57.1020000000011,75.20886,64.4392999999993,62.9059745454537,57.1020000000011,107.499120000002,38.375
"05-06",47.8919999999983,89.26332,98.4579699999967,38.6820000000067,84.75349,40.7941600000067,50.0410000000089,72.7589999999994,53.1109999999978,67.6873599999997,76.6886000000014,65.466354545456,67.6873599999997,98.4579699999967,38.6820000000067
"05-07",41.1380000000017,85.0267199999989,62.3117899999989,41.1379999999933,84.72586,38.6482299999978,48.5059999999978,77.6710000000006,67.2329999999989,50.6580700000001,81.9689999999994,61.7296063636352,62.3117899999989,85.0267199999989,38.6482299999978
"05-08",46.05,92.4868199999967,58.0230000000045,33.77,55.7450600000045,40.4011999999978,37.7609999999978,53.1109999999992,64.777,49.26122,85.9907000000007,56.1251818181819,53.1109999999992,92.4868199999967,33.77
"05-09",50.0409999999978,92.50217,67.4540399999956,34.3840000000022,60.1198099999933,44.3768499999978,42.6730000000045,45.7430000000003,67.68736,48.21742,76.2588000000004,57.2234045454538,50.0409999999978,92.50217,34.3840000000022
"05-10",54.9867700000017,93.0486300000045,79.82,36.2259999999978,59.9785900000089,47.9963800000022,51.8829999999933,44.2080000000003,69.37279,51.3825900000002,74.7544999999983,60.3324772727279,54.9867700000017,93.0486300000045,36.2259999999978
"05-11",46.9710000000006,60.2947999999978,77.3640000000022,40.5240000000022,51.4317099999933,44.0821300000022,40.2170000000067,49.4269999999997,78.0608900000034,51.6957300000001,76.5044000000002,56.0520600000008,51.4317099999933,78.0608900000034,40.2170000000067
"05-12",32.6954999999978,50.7777999999978,57.4090000000022,47.2780000000045,46.55348,41.3467599999978,48.1161099999933,55.26,66.90144,59.5549299999997,71.3161000000014,52.4735563636359,50.7777999999978,71.3161000000014,32.6954999999978
"05-13",33.33099,47.6740300000011,54.3389999999966,50.9619999999955,38.0342299999978,42.99228,59.9386800000067,66.3119999999997,53.1079299999989,68.5101200000002,79.4822999999982,54.0621418181813,53.1079299999989,79.4822999999982,33.33099
